#Source SSTISAGE1C J053625.84-692255.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	173.14	14.43	10.056	0.087
0.4747 	119.33	19.97	11.348	0.168
0.547 	156.32	10.733	10.959	0.0721
0.802 	178.48	7.7296	10.423	0.046
1.21 	141.76	2.7155	10.126	0.021
1.59 	127.26	3.0113	9.764	0.026
2.15 	208.93	4.0022	 8.76	0.021
3.6 	543.9	14.28	6.769	0.029
4.5 	669.8	35.71	 6.07	0.058
5.8 	758.4	21.63	5.466	0.031
8 	834.4	20.94	4.697	0.027
24 	 1126	5.979	 2.01	0.01153
70 	304.4	10.56	1.019	0.07535
