#Source SSTISAGE1C J052348.93-711201.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.64623	0.029775	16.126	 0.05
0.4747 	2.1515	0.055514	15.708	0.028
0.547 	4.4178	0.10625	14.831	0.0261
0.802 	7.5575	0.19499	13.856	0.028
1.21 	8.7326	0.19091	13.152	0.024
1.59 	8.7478	0.23056	12.671	0.029
2.15 	6.0981	0.16072	12.597	0.029
3.6 	2.921	0.1447	12.444	0.054
4.5 	1.973	0.1308	12.398	0.072
5.8 	1.192	0.05748	12.475	0.052
8 	0.7975	0.04267	12.246	0.058
24 	1.349	0.07553	9.194	0.1089
70 	-999.9	-999.9	-999.9	-999.9
