#Source SSTISAGE1C J053505.63-691923.2
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.092979	0.0052829	18.231	 0.06
0.4747 	0.72169	0.025018	16.894	0.037
0.547 	2.4661	0.083374	15.464	0.0361
0.802 	5.3159	0.20967	14.238	0.042
1.21 	7.4463	0.20293	13.325	 0.03
1.59 	9.1432	0.25737	12.623	0.031
2.15 	6.9502	0.18941	12.455	 0.03
3.6 	3.953	0.1427	12.116	0.039
4.5 	3.954	0.1641	11.643	0.045
5.8 	5.212	0.164	10.873	0.034
8 	16.06	0.429	8.986	0.029
24 	31.71	0.4748	5.886	0.03252
70 	-999.9	-999.9	-999.9	-999.9
