#Source SSTISAGE1C J045421.63-663448.4
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.49521	0.017167	16.415	0.037
0.4747 	 1.46	0.040904	16.129	 0.03
0.547 	3.1362	0.070393	15.203	0.0241
0.802 	5.7914	0.1349	14.145	0.025
1.21 	5.3449	0.13608	13.685	0.028
1.59 	4.2648	0.14289	13.451	0.037
2.15 	3.224	0.11375	13.289	0.039
3.6 	 1.86	0.07018	12.934	0.041
4.5 	1.419	0.07821	12.755	 0.06
5.8 	1.311	0.06931	12.372	0.057
8 	1.436	0.06112	11.607	0.046
24 	0.8575	0.05384	9.806	0.1365
70 	-999.9	-999.9	-999.9	-999.9
