#Source SSTISAGE1C J053742.57-690943.5
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.45535	0.061686	17.394	0.147
0.547 	0.43332	0.071518	17.352	0.1791
0.802 	0.32718	0.019899	17.265	0.066
1.21 	1.0994	0.098578	15.402	0.102
1.59 	0.83464	0.1003	15.222	0.139
2.15 	0.99999	0.10793	14.56	0.124
3.6 	1.823	0.1868	12.956	0.111
4.5 	1.535	0.1805	12.67	0.128
5.8 	 8.67	0.6204	10.321	0.078
8 	22.01	0.9961	8.644	0.049
24 	345.6	4.978	3.393	0.03433
70 	-999.9	-999.9	-999.9	-999.9
