#Source SSTISAGE1C J050954.24-673628.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	99.999	99.999	99.999	99.999
0.547 	99.999	99.999	99.999	99.999
0.802 	99.999	99.999	99.999	99.999
1.21 	0.97172	0.055624	15.536	0.064
1.59 	1.0982	0.10032	14.924	0.104
2.15 	  1.2	0.11262	14.362	0.107
3.6 	1.959	0.06138	12.878	0.034
4.5 	-999.9	-999.9	99.999	99.999
5.8 	14.79	0.4832	9.741	0.035
8 	88.43	1.579	7.134	0.019
24 	377.9	 2.14	3.195	0.0123
70 	132.4	3.894	1.923	0.06389
