#Source SSTISAGE1C J054024.79-695716.4
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	3.2062	0.14772	14.387	 0.05
0.4747 	3.5938	0.079478	15.151	0.024
0.547 	3.1132	0.11791	15.211	0.0411
0.802 	2.1696	0.07997	15.211	 0.04
1.21 	1.1911	0.06611	15.315	0.062
1.59 	0.72828	0.089872	15.37	0.143
2.15 	0.59813	0.098791	15.118	0.196
3.6 	0.2779	0.02459	14.998	0.096
4.5 	0.2696	0.04006	14.558	0.161
5.8 	0.305	0.0312	13.955	0.111
8 	0.7361	0.06614	12.333	0.098
24 	34.62	0.3654	5.791	0.02292
70 	-999.9	-999.9	-999.9	-999.9
