#Source SSTISAGE1C J051706.29-675840.0
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	5.0256	0.10188	13.899	0.022
0.4747 	5.2089	0.067198	14.748	0.014
0.547 	4.5082	0.2289	14.809	0.0551
0.802 	2.652	0.095307	14.993	0.039
1.21 	1.3866	0.06606	15.15	0.053
1.59 	0.90344	0.09304	15.136	0.118
2.15 	0.45373	0.090319	15.418	0.241
3.6 	0.2356	0.008024	15.178	0.037
4.5 	0.1621	0.01166	15.11	0.078
5.8 	-999.9	-999.9	99.999	99.999
8 	0.1812	0.01587	13.855	0.095
24 	7.233	0.3037	7.605	0.1014
70 	-999.9	-999.9	-999.9	-999.9
