#Source SSTISAGE1C J053544.76-675547.4
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.014859	0.0020918	20.222	0.143
0.4747 	0.1744	0.0037339	18.436	0.023
0.547 	0.70147	0.012449	16.829	0.0191
0.802 	2.8287	0.10345	14.923	0.039
1.21 	5.7962	0.31162	13.597	 0.06
1.59 	8.5566	0.23319	12.695	 0.03
2.15 	6.6557	0.38099	12.502	0.064
3.6 	3.229	0.2515	12.335	0.085
4.5 	1.898	0.1273	12.439	0.073
5.8 	1.324	0.0796	12.361	0.065
8 	0.7601	0.03726	12.298	0.053
24 	4.066	0.09164	8.116	0.04895
70 	-999.9	-999.9	-999.9	-999.9
