#Source SSTISAGE1C J052722.07-694710.2
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.50763	0.035305	17.276	0.073
0.547 	3.0172	0.11064	15.245	0.0391
0.802 	24.728	4.974	12.569	0.199
1.21 	47.637	1.0415	11.31	0.024
1.59 	66.054	1.6224	10.476	0.027
2.15 	57.543	1.1543	10.16	0.022
3.6 	51.75	 1.85	9.323	0.039
4.5 	59.57	3.572	8.698	0.065
5.8 	79.14	1.782	 7.92	0.024
8 	124.4	2.115	6.764	0.018
24 	  156	0.9135	4.156	0.01272
70 	-999.9	-999.9	-999.9	-999.9
