#Source SSTISAGE1C J052520.75-705007.3
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.17218	0.006228	17.562	 0.04
0.4747 	0.97264	0.026507	16.57	 0.03
0.547 	2.7772	0.050941	15.335	0.0201
0.802 	99.999	99.999	99.999	99.999
1.21 	5.6382	0.16375	13.627	0.032
1.59 	4.2884	0.13604	13.445	0.035
2.15 	3.1622	0.11157	13.31	0.039
3.6 	1.585	0.1147	13.108	0.079
4.5 	 1.16	0.0633	12.974	0.059
5.8 	3.625	0.1519	11.268	0.046
8 	 24.1	0.5056	8.545	0.023
24 	160.7	1.464	4.104	0.01943
70 	47.57	2.689	3.034	0.1229
