#Source SSTISAGE1C J051054.78-700314.1
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	5.3603	0.18275	13.829	0.037
0.4747 	5.0067	0.1384	14.791	 0.03
0.547 	5.2144	0.22631	14.651	0.0471
0.802 	4.157	0.21451	14.505	0.056
1.21 	2.4007	0.091095	14.554	0.042
1.59 	1.8789	0.11569	14.341	0.069
2.15 	1.317	0.08564	14.261	0.073
3.6 	0.7394	0.04146	13.936	0.061
4.5 	0.6083	0.03605	13.675	0.064
5.8 	0.5128	0.04406	13.391	0.093
8 	0.384	0.03092	13.04	0.087
24 	0.8548	0.04539	9.809	0.1154
70 	-999.9	-999.9	-999.9	-999.9
