#Source SSTISAGE1C J044605.22-684650.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	13.601	1.0402	12.818	0.083
0.4747 	14.176	0.3788	13.661	0.029
0.547 	11.62	0.32228	13.781	0.0301
0.802 	0.49566	0.072625	16.814	0.159
1.21 	3.8401	0.090866	14.044	0.026
1.59 	2.232	0.10242	14.154	0.051
2.15 	1.5502	0.10347	14.084	0.075
3.6 	0.6727	0.01716	14.039	0.028
4.5 	0.4276	0.02269	14.058	0.058
5.8 	0.2763	0.02186	14.062	0.086
8 	0.2023	0.01444	13.736	0.078
24 	1.494	0.1244	9.203	0.1812
70 	-999.9	-999.9	-999.9	-999.9
