#Source SSTISAGE1C J053630.99-691228.0
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	4.1571	0.12258	14.105	0.032
0.4747 	4.5368	0.13796	14.898	0.033
0.547 	4.0776	0.24085	14.918	0.0641
0.802 	2.5048	0.085401	15.055	0.037
1.21 	1.494	0.063292	15.069	0.047
1.59 	0.81564	0.081974	15.247	0.115
2.15 	0.48797	0.091699	15.339	0.226
3.6 	0.253	0.01542	 15.1	0.066
4.5 	0.2007	0.03334	14.879	 0.18
5.8 	-999.9	-999.9	99.999	99.999
8 	0.3437	0.02216	13.16	 0.07
24 	6.221	0.1209	7.654	0.04219
70 	-999.9	-999.9	-999.9	-999.9
