#Source SSTISAGE1C J050921.03-685124.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	15.79	0.69835	12.656	0.048
0.4747 	13.279	0.35482	13.732	0.029
0.547 	13.527	0.46243	13.616	0.0371
0.802 	6.8609	0.34138	13.961	0.054
1.21 	3.2685	0.21816	14.219	0.075
1.59 	2.004	0.10249	14.271	0.057
2.15 	1.4034	0.09005	14.192	0.072
3.6 	0.549	0.02434	14.259	0.048
4.5 	0.3448	0.02492	14.291	0.078
5.8 	0.2398	0.02178	14.216	0.099
8 	0.2887	0.019	13.349	0.071
24 	13.46	0.5019	6.817	0.08103
70 	-999.9	-999.9	-999.9	-999.9
