#Source SSTISAGE1C J051955.89-694805.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.016503	0.0013128	20.996	 0.09
0.547 	0.80539	0.073634	16.679	0.1041
0.802 	8.173	0.63629	13.771	0.088
1.21 	28.863	0.63101	11.854	0.024
1.59 	54.992	1.3507	10.675	0.027
2.15 	66.251	1.2691	10.007	0.021
3.6 	60.44	2.397	9.155	0.043
4.5 	34.88	1.008	9.279	0.031
5.8 	24.47	0.8055	9.194	0.036
8 	22.67	0.4115	8.612	 0.02
24 	2.855	0.07171	  8.5	0.02728
70 	-999.9	-999.9	-999.9	-999.9
