#Source SSTISAGE1C J053513.27-655903.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	6.4861	0.16734	13.622	0.028
0.4747 	7.8478	0.14463	14.303	 0.02
0.547 	6.9057	0.14699	14.346	0.0231
0.802 	5.2527	0.1452	14.251	 0.03
1.21 	3.451	0.134	14.16	0.043
1.59 	2.1296	0.13113	14.205	0.069
2.15 	1.9213	0.12824	13.851	0.075
3.6 	0.9304	0.04571	13.687	0.053
4.5 	0.6227	0.05536	13.649	0.097
5.8 	0.5155	0.03635	13.385	0.077
8 	0.3675	0.03251	13.088	0.096
24 	1.957	0.228	9.383	0.3955
70 	-999.9	-999.9	-999.9	-999.9
