#Source SSTISAGE1C J051724.28-692545.1
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	1.6998	0.048555	15.076	0.031
0.4747 	4.3929	0.12144	14.933	 0.03
0.547 	5.7704	0.30361	14.541	0.0571
0.802 	8.2183	0.32562	13.765	0.043
1.21 	7.2501	0.17155	13.354	0.026
1.59 	6.0076	0.17448	13.079	0.032
2.15 	4.2579	0.14266	12.987	0.037
3.6 	2.132	0.104	12.786	0.053
4.5 	1.232	0.08477	12.909	0.075
5.8 	0.848	0.07094	12.845	0.091
8 	0.5247	0.04691	12.701	0.097
24 	1.374	0.05796	9.294	0.09168
70 	-999.9	-999.9	-999.9	-999.9
