#Source SSTISAGE1C J050143.48-694048.1
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.15317	0.0075146	17.689	0.052
0.4747 	0.64084	0.017347	17.023	0.029
0.547 	1.9143	0.077519	15.739	0.0431
0.802 	4.0251	0.15491	14.54	0.041
1.21 	5.9094	0.17691	13.576	0.033
1.59 	6.5993	0.17985	12.977	 0.03
2.15 	6.0925	0.18239	12.598	0.033
3.6 	6.391	0.1818	11.594	0.031
4.5 	 6.92	0.1918	11.035	 0.03
5.8 	7.789	0.1731	10.437	0.024
8 	9.545	0.176	9.551	 0.02
24 	4.931	0.09312	7.906	0.04101
70 	-999.9	-999.9	-999.9	-999.9
