#Source SSTISAGE1C J051209.03-710649.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	4.184	0.11722	14.098	 0.03
0.4747 	6.7663	0.18957	14.464	 0.03
0.547 	7.4269	0.14574	14.267	0.0211
0.802 	7.2374	0.23711	13.903	0.035
1.21 	5.1993	0.12303	13.715	0.026
1.59 	5.4138	0.15723	13.192	0.032
2.15 	9.5763	0.2266	12.107	0.026
3.6 	27.01	0.9293	10.029	0.037
4.5 	 33.8	1.098	9.313	0.035
5.8 	42.68	1.071	 8.59	0.027
8 	67.39	0.9372	7.429	0.015
24 	92.17	0.6866	4.727	0.01618
70 	43.82	3.173	3.123	0.1575
