#Source SSTISAGE1C J052229.15-710814.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.53702	0.028871	16.327	 0.06
0.4747 	1.2576	0.049947	16.291	0.044
0.547 	0.88554	0.080146	16.576	0.103
0.802 	99.999	99.999	99.999	99.999
1.21 	3.1619	0.18099	14.255	0.064
1.59 	3.5768	0.27847	13.642	0.088
2.15 	3.2151	0.16444	13.292	0.057
3.6 	2.435	0.1533	12.642	0.068
4.5 	2.326	0.2166	12.219	0.101
5.8 	4.362	  0.2	11.067	 0.05
8 	13.03	0.292	9.213	0.024
24 	172.4	1.737	4.049	0.0219
70 	226.4	6.397	 1.34	0.06137
