#Source SSTISAGE1C J050341.38-671936.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	1.5531	0.067213	15.174	0.046
0.4747 	3.0588	0.082801	15.326	0.029
0.547 	5.2192	0.18143	14.65	0.0371
0.802 	6.9949	0.15635	13.94	0.024
1.21 	6.4024	0.13997	13.489	0.024
1.59 	5.9361	0.18301	13.092	0.034
2.15 	4.0179	0.12387	13.05	0.034
3.6 	1.788	0.06819	12.977	0.041
4.5 	1.095	0.05061	13.036	 0.05
5.8 	0.7678	0.04569	12.953	0.065
8 	-999.9	-999.9	99.999	99.999
24 	5.572	0.1094	7.774	0.04263
70 	-999.9	-999.9	-999.9	-999.9
