#Source SSTISAGE1C J053735.32-693459.5
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.96291	0.069817	15.693	0.076
0.4747 	1.1661	0.049348	16.373	0.045
0.547 	1.3038	0.047808	16.156	0.0391
0.802 	1.4203	0.072426	15.671	0.054
1.21 	1.0288	0.066013	15.474	0.072
1.59 	1.0137	0.078057	15.011	0.087
2.15 	1.9373	0.095693	13.842	0.055
3.6 	7.921	0.3144	11.361	0.043
4.5 	12.28	0.8439	10.413	0.075
5.8 	15.08	0.6311	 9.72	0.045
8 	20.46	0.6257	8.723	0.033
24 	 15.3	0.2082	6.677	0.02955
70 	-999.9	-999.9	-999.9	-999.9
