#Source SSTISAGE1C J053348.91-701323.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	99.999	99.999	99.999	99.999
0.547 	99.999	99.999	99.999	99.999
0.802 	99.999	99.999	99.999	99.999
1.21 	1.011	0.073542	15.493	0.082
1.59 	1.2575	0.10641	14.777	0.096
2.15 	3.6509	0.15145	13.154	0.046
3.6 	28.61	0.7939	9.967	 0.03
4.5 	50.35	2.757	 8.88	0.059
5.8 	75.47	1.861	7.971	0.027
8 	103.2	1.683	6.966	0.018
24 	130.3	0.9707	4.352	0.01618
70 	128.3	5.747	1.957	0.09737
