#Source SSTISAGE1C J045444.13-701915.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.14628	0.010896	17.739	0.078
0.4747 	1.8061	0.08512	15.898	 0.05
0.547 	8.4568	0.22973	14.126	0.0291
0.802 	31.188	4.4562	12.317	0.145
1.21 	62.107	1.3578	11.022	0.024
1.59 	88.941	2.0245	10.153	0.025
2.15 	75.162	1.3039	 9.87	0.019
3.6 	55.76	3.039	9.242	0.059
4.5 	63.78	 3.72	8.624	0.063
5.8 	75.58	2.053	 7.97	0.029
8 	137.3	3.605	6.656	0.028
24 	147.6	0.9828	4.216	0.01445
70 	-999.9	-999.9	-999.9	-999.9
