#Source SSTISAGE1C J050304.95-684024.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.99721	0.044004	15.655	0.049
0.4747 	2.3569	0.05789	15.609	0.027
0.547 	3.3236	0.30942	15.14	0.1061
0.802 	4.4461	0.14989	14.432	0.036
1.21 	3.9586	0.12558	14.011	0.035
1.59 	3.5801	0.11676	13.641	0.036
2.15 	3.0311	0.13642	13.356	 0.05
3.6 	7.309	0.2952	11.449	0.044
4.5 	10.42	0.4448	10.59	0.046
5.8 	15.23	0.4947	9.709	0.035
8 	24.79	0.5193	8.515	0.023
24 	 18.7	0.2834	6.459	0.03292
70 	-999.9	-999.9	-999.9	-999.9
