#Source SSTISAGE1C J052343.50-693206.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	 0.16	 0.01	17.65	 0.05
0.4747 	 0.62	 0.03	17.06	 0.05
0.547 	 1.07	  0.1	16.37	  0.1
0.802 	 1.87	 0.08	15.37	 0.04
1.21 	1.1427	0.081172	15.36	 0.08
1.59 	1.375	0.10938	14.68	 0.09
2.15 	1.0965	0.10565	14.46	 0.11
3.6 	 0.76	 0.04	 13.9	 0.05
4.5 	 0.57	 0.03	13.75	 0.06
5.8 	 0.37	 0.03	13.73	 0.09
8 	 0.28	 0.02	13.37	 0.08
24 	-999.9	-999.9	99.999	99.999
70 	-999.9	-999.9	-999.9	-999.9
