#Source SSTISAGE1C J050443.21-690855.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	3.5285	0.15931	14.283	0.049
0.4747 	4.1035	0.11344	15.007	 0.03
0.547 	3.7257	0.59427	15.016	0.1731
0.802 	2.6374	0.097212	14.999	 0.04
1.21 	1.946	0.080725	14.782	0.046
1.59 	1.2927	0.089611	14.747	0.078
2.15 	1.0092	0.090496	14.55	0.102
3.6 	0.7923	0.04182	13.861	0.057
4.5 	0.6278	0.04139	13.641	0.072
5.8 	0.5183	0.04325	13.379	0.091
8 	0.4078	0.02808	12.974	0.075
24 	0.8291	0.04421	9.842	0.1159
70 	-999.9	-999.9	-999.9	-999.9
