#Source SSTISAGE1C J051816.40-691359.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.095313	0.007115	19.092	0.081
0.547 	0.54803	0.056109	17.097	0.1111
0.802 	2.5798	0.20206	15.023	0.085
1.21 	5.8606	0.15972	13.585	 0.03
1.59 	8.8777	0.24989	12.655	0.031
2.15 	7.4062	0.17525	12.386	0.026
3.6 	3.647	0.1522	12.203	0.045
4.5 	2.093	0.1238	12.333	0.064
5.8 	 1.72	0.09685	12.077	0.061
8 	 1.21	0.1093	11.794	0.098
24 	4.893	0.07945	7.915	0.03527
70 	-999.9	-999.9	-999.9	-999.9
