#Source SSTISAGE1C J053522.16-703930.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	99.999	99.999	99.999	99.999
0.547 	99.999	99.999	99.999	99.999
0.802 	99.999	99.999	99.999	99.999
1.21 	-999.9	-999.9	99.999	99.999
1.59 	-999.9	-999.9	99.999	99.999
2.15 	-999.9	-999.9	99.999	99.999
3.6 	 24.8	1.148	10.122	 0.05
4.5 	45.95	3.023	8.979	0.071
5.8 	62.39	1.829	8.178	0.032
8 	68.27	1.253	7.415	 0.02
24 	32.04	0.302	5.875	0.02047
70 	-999.9	-999.9	-999.9	-999.9
