#Source SSTISAGE1C J053539.43-701102.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.019824	0.0035101	19.909	0.177
0.4747 	0.29157	0.036785	17.878	0.129
0.547 	1.176	0.11239	16.268	0.0991
0.802 	2.8417	0.18925	14.918	 0.07
1.21 	4.9379	0.11684	13.771	0.026
1.59 	6.467	0.15884	12.999	0.027
2.15 	4.9567	0.13064	12.822	0.029
3.6 	  2.5	0.1109	12.613	0.048
4.5 	1.468	0.1151	12.719	0.085
5.8 	1.049	0.07732	12.613	 0.08
8 	0.5022	0.04655	12.748	0.101
24 	2.481	0.06872	8.652	0.06015
70 	153.7	5.862	1.761	0.08288
