#Source SSTISAGE1C J054745.76-680734.1
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	3.0959	0.095541	14.425	0.033
0.4747 	7.5084	0.19615	14.351	0.028
0.547 	8.0613	0.15063	14.178	0.0201
0.802 	5.7488	0.23225	14.153	0.043
1.21 	4.979	0.16238	13.762	0.036
1.59 	4.2845	0.18151	13.446	0.047
2.15 	5.7862	0.30099	12.654	0.058
3.6 	13.97	0.3194	10.745	0.025
4.5 	16.66	0.5674	10.081	0.037
5.8 	17.75	0.381	9.543	0.023
8 	23.53	0.339	8.572	0.016
24 	16.25	0.2572	6.612	0.03437
70 	-999.9	-999.9	-999.9	-999.9
