#Source SSTISAGE1C J050920.18-674725.1
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.28866	0.017245	17.001	0.063
0.4747 	0.30899	0.0086569	17.815	 0.03
0.547 	0.53803	0.029575	17.117	0.0581
0.802 	0.61373	0.033081	16.582	0.057
1.21 	0.74121	0.047559	15.83	0.072
1.59 	0.74731	0.081269	15.342	0.125
2.15 	1.1609	0.085439	14.398	0.083
3.6 	4.404	0.2453	11.999	 0.06
4.5 	-999.9	-999.9	99.999	99.999
5.8 	18.76	0.4892	9.483	0.028
8 	58.67	1.467	 7.58	0.027
24 	375.7	2.261	3.202	0.01306
70 	93.18	 2.68	2.304	0.06248
