#Source SSTISAGE1C J050350.12-655953.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.017522	0.0021801	20.043	0.135
0.4747 	0.24252	0.0082695	18.078	0.037
0.547 	0.93413	0.031936	16.518	0.0371
0.802 	3.1885	0.082265	14.793	0.028
1.21 	5.6904	0.13465	13.617	0.026
1.59 	7.577	0.22006	12.827	0.032
2.15 	5.8022	0.14251	12.651	0.027
3.6 	2.856	0.2003	12.469	0.076
4.5 	 1.65	0.103	12.592	0.068
5.8 	1.195	0.0661	12.472	 0.06
8 	0.6868	0.05524	12.409	0.087
24 	1.247	0.05661	9.393	0.09806
70 	-999.9	-999.9	-999.9	-999.9
