#Source SSTISAGE1C J051303.45-690122.5
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	6.7981	0.63892	13.571	0.102
0.4747 	6.7788	0.19988	14.462	0.032
0.547 	5.6028	0.17089	14.573	0.0331
0.802 	2.9921	0.12683	14.862	0.046
1.21 	1.5302	0.053989	15.043	0.039
1.59 	1.0421	0.075804	14.981	0.082
2.15 	0.58022	0.074404	15.151	0.149
3.6 	0.2542	0.009741	15.095	0.042
4.5 	0.156	0.01403	15.152	0.098
5.8 	0.1243	0.02247	14.929	0.196
8 	0.2203	0.01859	13.643	0.092
24 	33.13	0.3035	5.822	0.0196
70 	102.6	6.442	2.199	0.1365
