#Source SSTISAGE1C J060120.81-673859.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.017505	0.001408	20.932	0.084
0.547 	0.083178	0.0036877	19.144	0.0471
0.802 	0.3351	0.011617	17.239	0.037
1.21 	0.7074	0.03779	15.882	0.058
1.59 	1.047	0.07714	14.976	 0.08
2.15 	1.442	0.0837	14.162	0.063
3.6 	5.372	0.2008	11.783	0.041
4.5 	9.527	0.4113	10.688	0.047
5.8 	 14.4	0.4123	 9.77	0.031
8 	 22.5	0.463	 8.62	0.022
24 	48.57	0.6107	5.423	0.013655
70 	-999.9	-999.9	-999.9	-999.9
