#Source SSTISAGE1C J052116.16-674511.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	1.1619	0.032553	15.489	 0.03
0.4747 	3.1882	0.041377	15.281	0.014
0.547 	4.4875	0.39728	14.814	0.0921
0.802 	5.587	0.19901	14.184	0.038
1.21 	5.4947	0.12013	13.655	0.024
1.59 	5.5911	0.16738	13.157	0.033
2.15 	6.8485	0.1805	12.471	0.029
3.6 	12.77	0.3384	10.842	0.029
4.5 	14.83	0.6005	10.207	0.044
5.8 	15.63	0.4988	9.681	0.035
8 	18.87	0.3724	8.811	0.021
24 	13.41	0.3162	6.796	0.05008
70 	-999.9	-999.9	-999.9	-999.9
