#Source SSTISAGE1C J053306.79-703033.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.075919	0.011892	19.339	0.158
0.547 	0.12023	0.02012	18.744	0.168
0.802 	99.999	99.999	99.999	99.999
1.21 	4.979	0.10436	13.762	0.023
1.59 	6.1475	0.17854	13.054	0.032
2.15 	6.8992	0.18184	12.463	0.029
3.6 	33.86	1.171	9.784	0.038
4.5 	76.13	4.467	8.431	0.064
5.8 	140.1	3.094	7.299	0.024
8 	205.9	4.719	6.216	0.025
24 	131.1	0.9063	4.345	0.01501
70 	-999.9	-999.9	-999.9	-999.9
