#Source SSTISAGE1C J054055.81-691614.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	6.1205	0.20634	13.685	0.036
0.4747 	6.7538	0.18283	14.466	0.029
0.547 	6.7237	0.18265	14.375	0.0291
0.802 	4.5329	0.17012	14.411	 0.04
1.21 	3.1013	0.092843	14.276	0.033
1.59 	2.2361	0.096706	14.152	0.048
2.15 	1.4969	0.10377	14.122	0.078
3.6 	0.7454	0.03837	13.927	0.056
4.5 	0.7378	0.05002	13.465	0.074
5.8 	0.6859	0.04591	13.075	0.073
8 	6.055	0.1768	10.045	0.032
24 	129.1	0.9574	4.362	0.01611
70 	-999.9	-999.9	-999.9	-999.9
