#Source SSTISAGE1C J053950.98-671645.2
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	20.137	0.3556	12.392	0.019
0.4747 	42.223	5.811	12.476	 0.14
0.547 	25.004	2.4654	12.949	0.1021
0.802 	21.202	2.1313	12.736	0.104
1.21 	7.7116	0.20325	13.287	0.029
1.59 	4.8384	0.14485	13.314	0.033
2.15 	3.2658	0.1297	13.275	0.044
3.6 	1.451	0.06527	13.204	0.049
4.5 	0.9797	0.05233	13.157	0.058
5.8 	0.6601	0.03733	13.117	0.061
8 	0.4106	0.03114	12.967	0.082
24 	2.097	0.2503	8.835	0.2605
70 	-999.9	-999.9	-999.9	-999.9
