#Source SSTISAGE1C J052149.09-700434.0
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.1823	0.0082049	 17.5	 0.05
0.4747 	1.6442	0.059472	   16	 0.04
0.547 	1.5474	0.069645	15.97	 0.05
0.802 	2.9702	0.15968	14.87	 0.06
1.21 	3.0899	0.11176	14.28	 0.04
1.59 	3.036	0.10981	13.82	 0.04
2.15 	2.7542	0.12396	13.46	 0.05
3.6 	 3.64	 0.25	12.21	 0.08
4.5 	 5.25	 0.28	11.33	 0.06
5.8 	 7.19	 0.23	10.52	 0.04
8 	10.61	 0.33	 9.44	 0.03
24 	 9.28	 0.24	 7.21	 0.06
70 	-999.9	-999.9	-999.9	-999.9
