#Source SSTISAGE1C J053717.90-691952.1
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	11.313	0.91004	13.018	0.084
0.4747 	13.169	0.38142	13.741	0.031
0.547 	12.824	1.1353	13.674	0.0921
0.802 	7.4607	0.35881	13.87	0.051
1.21 	 4.01	0.073191	13.997	 0.02
1.59 	2.6297	0.095117	13.976	 0.04
2.15 	1.7298	0.099018	13.965	0.064
3.6 	0.6944	0.07581	14.004	0.119
4.5 	-999.9	-999.9	99.999	99.999
5.8 	0.4366	0.03826	13.566	0.095
8 	0.4736	0.03534	12.812	0.081
24 	 6.25	0.1396	7.649	0.0485
70 	-999.9	-999.9	-999.9	-999.9
