#Source SSTISAGE1C J052020.10-693114.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	2.4796	0.074169	14.666	0.032
0.4747 	5.5712	0.16664	14.675	0.032
0.547 	6.9312	0.84645	14.342	0.1251
0.802 	10.232	0.65132	13.527	0.067
1.21 	9.3399	0.30461	13.079	0.036
1.59 	8.0371	0.29784	12.763	0.041
2.15 	5.5564	0.17626	12.698	0.035
3.6 	2.411	0.2321	12.652	0.105
4.5 	 1.45	0.1046	12.732	0.078
5.8 	0.9289	0.08697	12.746	0.102
8 	-999.9	-999.9	99.999	99.999
24 	41.89	0.6406	5.593	0.03351
70 	-999.9	-999.9	-999.9	-999.9
