#Source SSTISAGE1C J050423.47-694639.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	1.0385	0.032535	15.611	0.034
0.4747 	0.70202	0.027171	16.924	0.042
0.547 	0.76702	0.035412	16.732	0.0501
0.802 	0.74538	0.033657	16.371	0.049
1.21 	0.64024	0.059552	15.989	0.106
1.59 	0.51322	0.083976	15.75	0.194
2.15 	1.1814	0.095982	14.379	0.092
3.6 	2.351	0.06461	12.68	 0.03
4.5 	3.046	0.08958	11.926	0.032
5.8 	5.714	0.1188	10.773	0.023
8 	17.36	0.1939	8.902	0.012
24 	129.1	0.864	 4.37	0.01465
70 	-999.9	-999.9	-999.9	-999.9
