#Source SSTISAGE1C J053937.53-701544.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.82944	0.027174	15.855	0.035
0.4747 	1.3145	0.028142	16.243	0.023
0.547 	2.0231	0.054955	15.679	0.0291
0.802 	2.7213	0.094335	14.965	0.037
1.21 	3.4733	0.082187	14.153	0.026
1.59 	5.1844	0.099312	13.239	0.021
2.15 	8.7336	0.18307	12.207	0.023
3.6 	18.71	0.5185	10.428	 0.03
4.5 	23.11	0.8579	9.725	 0.04
5.8 	25.34	0.7443	9.156	0.032
8 	29.64	0.4509	8.321	0.017
24 	 26.5	0.3365	6.081	0.02757
70 	-999.9	-999.9	-999.9	-999.9
