#Source SSTISAGE1C J051159.39-692533.1
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	2.9079	0.054062	14.493	 0.02
0.4747 	9.7803	0.090496	14.064	 0.01
0.547 	13.779	0.12749	13.596	 0.01
0.802 	99.999	99.999	99.999	99.999
1.21 	16.655	0.3491	12.451	0.023
1.59 	14.774	0.37614	12.102	0.028
2.15 	12.659	0.28815	11.804	0.025
3.6 	16.61	0.9316	10.557	0.061
4.5 	19.01	1.064	9.937	0.061
5.8 	23.48	0.5643	9.239	0.026
8 	35.95	0.6925	8.111	0.021
24 	33.19	0.5176	5.817	0.03327
70 	-999.9	-999.9	-999.9	-999.9
