#Source SSTISAGE1C J053312.27-694233.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.0294	0.0034661	20.369	0.121
0.547 	0.057545	0.0032752	19.544	0.0601
0.802 	0.14831	0.020567	18.124	0.141
1.21 	-999.9	-999.9	99.999	99.999
1.59 	0.63665	0.075988	15.516	0.138
2.15 	0.75927	0.092469	14.859	0.141
3.6 	0.5735	0.07739	14.212	0.147
4.5 	0.5459	0.06797	13.792	0.135
5.8 	1.202	0.0455	12.466	0.041
8 	3.639	0.1258	10.598	0.038
24 	10.95	0.1896	 7.04	0.0376
70 	116.8	 5.21	2.059	0.09695
