#Source SSTISAGE1C J050508.32-701242.0
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	0.13917	0.0054041	18.681	0.043
0.547 	1.1066	0.035204	16.334	0.0351
0.802 	6.516	0.257	14.017	0.042
1.21 	14.586	0.31889	12.595	0.024
1.59 	24.249	0.53015	11.564	0.024
2.15 	25.049	0.57019	11.063	0.025
3.6 	19.71	0.6231	10.371	0.034
4.5 	12.27	0.4883	10.413	0.043
5.8 	10.03	0.2859	10.162	0.031
8 	 13.6	0.4407	9.167	0.035
24 	7.823	0.1417	7.405	0.03933
70 	-999.9	-999.9	-999.9	-999.9
