#Source SSTISAGE1C J054956.54-703620.4
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.21877	0.027146	17.302	0.127
0.4747 	0.77974	0.0375	16.81	0.051
0.547 	1.7931	0.096825	15.81	0.0571
0.802 	3.5775	0.58716	14.668	0.165
1.21 	5.6643	0.15437	13.622	 0.03
1.59 	7.5631	0.23317	12.829	0.034
2.15 	6.1263	0.20526	12.592	0.037
3.6 	2.974	0.2939	12.425	0.107
4.5 	1.657	0.08883	12.587	0.058
5.8 	1.103	0.07142	12.56	 0.07
8 	0.6666	0.03703	12.441	 0.06
24 	3.419	0.07784	8.304	0.04944
70 	-999.9	-999.9	-999.9	-999.9
