#Source SSTISAGE1C J055326.03-665851.5
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.63152	0.019489	16.151	0.033
0.4747 	2.2592	0.061156	15.655	0.029
0.547 	3.3175	0.50239	15.142	0.1531
0.802 	4.5749	0.093644	14.401	0.022
1.21 	5.6123	0.15295	13.632	 0.03
1.59 	5.3444	0.15522	13.206	0.032
2.15 	5.1522	0.14964	12.78	0.032
3.6 	6.737	0.2527	11.537	0.041
4.5 	9.337	0.4999	10.71	0.058
5.8 	11.66	0.4225	9.999	0.039
8 	16.41	0.3508	8.963	0.023
24 	12.44	0.1731	6.902	0.03023
70 	-999.9	-999.9	-999.9	-999.9
