#Source SSTISAGE1C J053128.48-685259.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	99.999	99.999	99.999	99.999
0.547 	99.999	99.999	99.999	99.999
0.802 	99.999	99.999	99.999	99.999
1.21 	20.135	0.47643	12.245	0.026
1.59 	12.738	0.27848	12.263	0.024
2.15 	8.4333	0.19955	12.245	0.026
3.6 	 3.38	0.1781	12.286	0.057
4.5 	2.535	0.1102	12.125	0.047
5.8 	 1.77	0.09729	12.046	 0.06
8 	 1.16	0.09866	11.839	0.092
24 	11.53	0.3691	6.984	0.06952
70 	171.1	12.33	1.644	0.1568
