#Source SSTISAGE1C J053613.95-695543.8
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.0085268	0.0020605	20.825	0.235
0.4747 	0.1838	0.013872	18.379	0.079
0.547 	0.67485	0.028623	16.871	0.0451
0.802 	2.2739	0.13807	15.16	0.064
1.21 	4.4827	0.15019	13.876	0.037
1.59 	6.1532	0.20068	13.053	0.036
2.15 	4.773	0.16416	12.863	0.038
3.6 	3.212	0.1737	12.341	0.059
4.5 	3.407	0.2602	11.804	0.083
5.8 	4.079	0.1605	11.139	0.043
8 	8.124	0.229	9.726	0.031
24 	6.769	0.1279	7.562	0.04104
70 	-999.9	-999.9	-999.9	-999.9
