#Source SSTISAGE1C J051259.45-691223.1
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.014859	0.0033375	20.222	 0.22
0.4747 	0.10655	0.0097429	18.971	0.095
0.547 	0.42384	0.021654	17.376	0.0541
0.802 	1.5761	0.077322	15.558	0.052
1.21 	3.1415	0.10525	14.262	0.037
1.59 	4.4249	0.15219	13.411	0.038
2.15 	3.7531	0.10564	13.124	0.031
3.6 	2.468	0.07958	12.627	0.035
4.5 	 1.82	0.1057	12.485	0.063
5.8 	2.017	0.08958	11.904	0.048
8 	3.626	0.1102	10.602	0.033
24 	3.894	0.1533	8.194	0.08804
70 	-999.9	-999.9	-999.9	-999.9
