#Source SSTISAGE1C J052147.95-700957.1
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.36441	0.015071	16.748	0.044
0.4747 	0.21026	0.0090995	18.233	0.046
0.547 	3.0117	0.11331	15.247	0.0401
0.802 	5.4598	0.2468	14.209	0.048
1.21 	7.1969	0.20902	13.362	0.032
1.59 	7.6331	0.22169	12.819	0.032
2.15 	11.663	0.28645	11.893	0.027
3.6 	32.46	1.199	 9.83	 0.04
4.5 	44.31	1.898	9.019	0.047
5.8 	59.12	1.422	8.236	0.026
8 	70.77	1.267	7.376	0.019
24 	29.75	0.354	5.955	0.02584
70 	-999.9	-999.9	-999.9	-999.9
