#Source SSTISAGE1C J052253.40-715021.0
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.44873	0.012405	16.522	 0.03
0.4747 	1.8414	0.052602	15.877	0.031
0.547 	3.7394	0.089935	15.012	0.0261
0.802 	6.0531	0.2231	14.097	 0.04
1.21 	6.3906	0.15696	13.491	0.027
1.59 	5.9635	0.1732	13.087	0.032
2.15 	4.2697	0.14305	12.984	0.037
3.6 	1.913	0.09024	12.904	0.051
4.5 	1.295	0.05914	12.854	 0.05
5.8 	0.8559	0.04798	12.835	0.061
8 	0.5531	0.02299	12.644	0.045
24 	1.162	0.0506	9.476	0.09466
70 	-999.9	-999.9	-999.9	-999.9
