#Source SSTISAGE1C J053643.65-692947.4
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	99.999	99.999	99.999	99.999
0.4747 	99.999	99.999	99.999	99.999
0.547 	99.999	99.999	99.999	99.999
0.802 	99.999	99.999	99.999	99.999
1.21 	224.67	5.3162	9.626	0.026
1.59 	160.66	3.9459	9.511	0.027
2.15 	136.14	2.8537	9.225	0.023
3.6 	78.89	3.221	8.866	0.044
4.5 	69.51	5.017	 8.53	0.078
5.8 	 50.2	1.439	8.414	0.031
8 	40.16	1.198	7.991	0.032
24 	 1148	4.991	1.989	0.009439
70 	  843	18.29	-0.08707	0.04713
