#Source SSTISAGE1C J052735.28-704437.4
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.14216	0.0062892	17.77	0.047
0.4747 	0.45368	0.025336	17.398	0.059
0.547 	0.94277	0.03008	16.508	0.0341
0.802 	2.744	0.076877	14.956	 0.03
1.21 	4.5326	0.11946	13.864	0.029
1.59 	6.5449	0.20178	12.986	0.034
2.15 	5.3604	0.17959	12.737	0.037
3.6 	  3.2	0.07934	12.345	0.027
4.5 	3.129	0.1404	11.897	0.049
5.8 	3.964	0.1068	11.17	0.029
8 	8.854	0.2285	9.633	0.028
24 	13.52	0.2156	6.811	0.03462
70 	-999.9	-999.9	-999.9	-999.9
