#Source SSTISAGE1C J052214.25-715731.3
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.026521	0.0033184	19.593	0.128
0.4747 	0.18722	0.0059556	18.359	0.034
0.547 	0.6662	0.12602	16.885	0.1881
0.802 	2.6253	0.26125	15.004	0.103
1.21 	4.3606	0.1071	13.906	0.027
1.59 	6.461	0.17608	   13	 0.03
2.15 	5.138	0.1584	12.783	0.034
3.6 	4.598	0.1631	11.952	0.039
4.5 	4.388	0.1824	11.53	0.045
5.8 	6.025	0.3004	10.716	0.054
8 	8.537	0.2239	9.672	0.028
24 	 7.62	0.1547	7.434	0.04408
70 	-999.9	-999.9	-999.9	-999.9
