#Source SSTISAGE1C J052315.12-695801.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.0045497	0.0028563	21.507	0.529
0.4747 	0.08332	0.0086295	19.238	0.107
0.547 	0.46645	0.032486	17.272	0.0731
0.802 	1.9408	0.082129	15.332	0.045
1.21 	4.1566	0.1761	13.958	0.047
1.59 	4.8787	0.16346	13.305	0.037
2.15 	3.6677	0.12288	13.149	0.037
3.6 	3.443	0.1492	12.266	0.047
4.5 	3.971	0.2155	11.638	0.059
5.8 	10.99	0.3136	10.063	0.031
8 	53.51	0.9719	 7.68	 0.02
24 	246.3	1.524	 3.66	0.01344
70 	76.48	3.481	2.519	0.0989
