#Source SSTISAGE1C J052019.84-674959.6
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.23921	0.007936	17.205	0.036
0.4747 	0.34894	0.0051451	17.683	0.016
0.547 	0.32539	0.0096257	17.663	0.0321
0.802 	0.21796	0.010244	17.706	0.051
1.21 	-999.9	-999.9	99.999	99.999
1.59 	-999.9	-999.9	99.999	99.999
2.15 	-999.9	-999.9	99.999	99.999
3.6 	0.1523	0.00856	15.652	0.061
4.5 	0.1694	0.0148	15.063	0.095
5.8 	-999.9	-999.9	99.999	99.999
8 	0.2284	0.02134	13.604	0.101
24 	0.5169	0.04572	10.36	0.1925
70 	-999.9	-999.9	-999.9	-999.9
