#Source SSTISAGE1C J045644.60-663420.9
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	12.918	0.25234	12.874	0.021
0.4747 	11.911	1.5522	13.85	0.133
0.547 	10.844	0.25362	13.856	0.0251
0.802 	5.9866	0.13945	14.109	0.025
1.21 	2.9781	0.094473	14.32	0.035
1.59 	1.8412	0.11178	14.363	0.068
2.15 	1.1481	0.086457	14.41	0.085
3.6 	0.5263	0.03667	14.305	0.076
4.5 	0.3189	0.03037	14.376	0.103
5.8 	-999.9	-999.9	99.999	99.999
8 	-999.9	-999.9	99.999	99.999
24 	16.84	0.1618	6.573	0.02087
70 	-999.9	-999.9	-999.9	-999.9
