#Source SSTISAGE1C J052627.20-664258.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.98534	0.02481	15.668	0.027
0.4747 	2.5372	0.071082	15.529	 0.03
0.547 	5.0258	0.070385	14.691	0.0151
0.802 	6.534	0.1522	14.014	0.025
1.21 	5.8606	0.15972	13.585	 0.03
1.59 	5.6585	0.1694	13.144	0.033
2.15 	5.3358	0.14063	12.742	0.029
3.6 	9.937	0.284	11.115	0.031
4.5 	13.51	0.5558	10.309	0.045
5.8 	18.71	0.607	9.486	0.035
8 	25.98	0.4737	8.464	 0.02
24 	17.76	0.2402	6.515	0.02937
70 	-999.9	-999.9	-999.9	-999.9
