#Source SSTISAGE1C J055825.94-694425.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.73992	0.031999	15.979	0.048
0.4747 	1.5789	0.034518	16.044	0.024
0.547 	2.5728	0.05184	15.418	0.0221
0.802 	2.795	0.096131	14.936	0.038
1.21 	2.1535	0.093131	14.672	0.048
1.59 	2.2506	0.095347	14.145	0.047
2.15 	3.4962	0.12956	13.201	0.041
3.6 	9.296	0.4053	11.187	0.047
4.5 	14.04	0.7172	10.267	0.055
5.8 	36.51	0.9988	 8.76	 0.03
8 	131.2	2.218	6.706	0.018
24 	438.5	2.493	3.034	0.01235
70 	107.6	3.054	2.148	0.06164
