#Source SSTISAGE1C J052931.70-685917.7
#Wavelength_(um)	Flux_(mJy)	Flux_error	Magnitude	Magnitude_error
0.353 	0.053751	0.0043592	18.826	0.088
0.4747 	0.24008	0.0073011	18.089	0.033
0.547 	0.58507	0.020542	17.026	0.0381
0.802 	0.9727	0.028683	16.082	0.032
1.21 	1.2646	0.065781	15.25	0.058
1.59 	1.5542	0.087615	14.547	0.063
2.15 	1.4575	0.096026	14.151	0.074
3.6 	 1.84	0.07835	12.946	0.046
4.5 	3.144	0.1768	11.891	0.061
5.8 	7.461	0.1736	10.484	0.025
8 	17.53	0.5981	8.891	0.037
24 	46.36	0.4733	5.473	0.02217
70 	-999.9	-999.9	-999.9	-999.9
